년,월,일,시,Gwang-bok,On-cheon,Jeon-po,Hak-Jang
2014,1,14,8,0.03,0.019,0.034,0.023
2014,1,14,9,0.028,0.026,0.035,0.025
2014,1,14,10,0.033,0.025,0.033,0.02
2014,1,14,11,0.033,0.022,0.033,0.017
2014,1,14,12,0.033,0.02,0.032,0.017
2014,1,14,13,0.031,0.02,0.029,0.014
2014,1,14,14,0.026,0.02,0.025,0.013
2014,1,14,15,점검,0.019,0.02,0.014
2014,1,14,16,점검,0.021,0.019,0.014
2014,1,14,17,0.028,0.02,0.02,0.018
2014,1,14,18,0.04,0.02,0.032,0.022
2014,1,14,19,0.045,0.024,0.035,0.025
2014,1,14,20,0.035,0.025,0.035,0.024
2014,1,14,21,0.031,0.024,0.03,0.023
2014,1,14,22,0.031,0.024,0.033,0.023
2014,1,14,23,0.026,0.022,0.032,0.018
2014,1,14,24,0.024,0.021,0.026,0.016
2014,1,15,1,0.025,0.021,0.019,0.017
2014,1,15,2,0.021,0.018,0.018,0.017
2014,1,15,3,0.02,0.012,0.019,0.016
2014,1,15,4,0.02,0.013,0.02,0.016
2014,1,15,5,0.021,0.013,0.021,0.018
2014,1,15,6,0.022,0.017,0.024,0.018
2014,1,15,7,0.027,0.025,0.025,0.021
2014,1,15,8,0.028,0.031,0.027,0.025
2014,1,15,9,0.035,0.034,0.031,0.022
2014,1,15,10,0.034,0.026,0.027,0.02
2014,1,15,11,0.031,0.02,0.02,0.017
2014,1,15,12,0.025,0.02,0.022,0.015
2014,1,15,13,0.021,0.019,0.016,0.012
2014,1,15,14,0.019,0.02,0.019,0.013
2014,1,15,15,0.018,0.017,0.017,0.012
2014,1,15,16,0.018,점검,0.019,0.014
2014,1,15,17,0.021,0.017,점검,0.016
2014,1,15,18,0.03,0.021,점검,0.023
2014,1,15,19,0.044,0.021,0.031,0.028
2014,1,15,20,0.041,0.022,0.034,0.027
2014,1,15,21,0.032,0.02,0.027,0.026
2014,1,15,22,0.025,0.019,0.025,0.02
2014,1,15,23,0.02,0.018,0.032,0.02
2014,1,15,24,0.021,0.016,0.035,0.018
2014,1,16,1,0.021,0.02,0.031,0.016
2014,1,16,2,0.021,0.019,0.029,0.017
2014,1,16,3,0.021,0.019,0.023,0.015
2014,1,16,4,0.02,0.018,0.025,0.014
2014,1,16,5,0.019,0.018,0.027,0.014
2014,1,16,6,0.019,0.019,0.028,0.016
2014,1,16,7,0.024,0.024,0.033,0.021
2014,1,16,8,0.026,0.031,0.036,0.025
2014,1,16,9,0.028,0.028,0.037,0.025
2014,1,16,10,0.031,0.038,0.037,0.025
2014,1,16,11,0.034,0.025,0.032,0.017
2014,1,16,12,0.033,0.025,0.032,0.015
2014,1,16,13,0.033,0.021,0.03,0.014
2014,1,16,14,0.032,0.02,0.028,0.013
2014,1,16,15,0.037,0.024,0.03,점검
2014,1,16,16,0.037,0.027,0.038,점검
2014,1,16,17,0.044,0.03,0.044,0.018
2014,1,16,18,0.052,0.03,0.048,0.031
2014,1,16,19,0.063,0.03,0.052,0.033
2014,1,16,20,0.059,0.033,0.052,0.03
2014,1,16,21,0.058,0.031,0.053,0.033
2014,1,16,22,0.055,0.031,0.051,0.034
2014,1,16,23,0.054,0.028,0.049,0.033
2014,1,16,24,0.039,0.028,0.045,0.032
2014,1,17,1,0.04,0.025,0.044,0.03
2014,1,17,2,0.029,0.021,0.038,0.028
2014,1,17,3,0.019,0.016,0.016,0.025
2014,1,17,4,0.016,0.015,0.014,0.018
2014,1,17,5,0.015,0.014,0.019,0.015
2014,1,17,6,0.018,0.023,0.02,0.023
2014,1,17,7,0.022,0.041,0.038,0.025
2014,1,17,8,0.033,0.032,0.044,0.03
2014,1,17,9,0.033,0.032,0.043,0.03
2014,1,17,10,0.033,0.032,0.042,0.029
2014,1,17,11,0.038,0.027,0.033,0.023
2014,1,17,12,0.03,0.029,0.029,0.019
2014,1,17,13,0.028,0.027,0.025,0.017
2014,1,17,14,0.026,0.025,0.023,0.015
2014,1,17,15,0.027,0.029,0.024,0.015
2014,1,17,16,0.029,0.024,0.023,0.019
2014,1,17,17,0.028,0.026,0.033,0.025
2014,1,17,18,0.04,0.026,0.039,0.035
2014,1,17,19,0.058,0.027,0.055,0.037
2014,1,17,20,0.062,0.039,0.055,0.034
2014,1,17,21,0.062,0.032,0.055,0.034
2014,1,17,22,0.054,0.035,0.057,0.033
2014,1,17,23,0.046,0.031,0.056,0.032
2014,1,17,24,0.039,0.027,0.054,0.029
2014,1,18,1,0.031,0.026,0.052,0.031
2014,1,18,2,0.033,0.024,0.051,0.029
2014,1,18,3,0.031,0.023,0.049,0.024
2014,1,18,4,0.025,0.023,0.043,0.028
2014,1,18,5,0.022,0.022,0.039,0.026
2014,1,18,6,0.027,0.024,0.042,0.027
2014,1,18,7,0.03,0.031,0.041,0.029
2014,1,18,8,0.024,0.026,0.033,0.032
2014,1,18,9,0.027,0.03,0.036,0.034
2014,1,18,10,0.026,0.023,0.034,0.03
2014,1,18,11,0.023,0.021,0.02,0.018
2014,1,18,12,0.021,0.02,0.016,0.013
2014,1,18,13,0.02,0.019,0.016,0.011
2014,1,18,14,0.018,0.032,0.016,0.011
2014,1,18,15,0.021,0.024,0.016,0.012
2014,1,18,16,0.021,0.026,0.015,0.012
2014,1,18,17,0.019,0.027,0.02,0.013
2014,1,18,18,0.021,0.025,0.02,0.015
2014,1,18,19,0.023,0.023,0.02,0.017
2014,1,18,20,0.023,0.028,0.018,0.014
2014,1,18,21,0.016,0.02,0.02,0.012
2014,1,18,22,0.017,0.015,0.019,0.012
2014,1,18,23,0.02,0.018,0.018,0.011
2014,1,18,24,0.017,0.014,0.018,0.01
2014,1,19,1,0.016,0.013,0.013,0.01
2014,1,19,2,0.015,0.011,0.019,0.009
2014,1,19,3,0.015,0.012,0.018,0.01
2014,1,19,4,0.014,0.011,0.018,0.009
2014,1,19,5,0.014,0.01,0.018,0.01
2014,1,19,6,0.015,0.021,0.022,0.011
2014,1,19,7,0.018,0.038,0.025,0.013
2014,1,19,8,0.02,0.025,0.028,0.019
2014,1,19,9,0.02,0.043,0.03,0.019
2014,1,19,10,0.022,0.02,0.024,0.013
2014,1,19,11,0.025,0.018,0.022,0.011
2014,1,19,12,0.032,0.02,0.023,0.01
2014,1,19,13,0.022,0.021,0.026,0.01
2014,1,19,14,0.027,0.026,0.024,0.011
